article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
0930032001,0930032,Slouchy Mom fit belted,272,Trousers,Garment Lower body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket, ankle-length jeans in sturdy, washed denim with an extra-high waist, detachable D-ring belt and zip fly with a button. Loose fit with gently tapered legs. The cotton content of the jeans is partly recycled."
0930032002,0930032,Slouchy Mom fit belted,272,Trousers,Garment Lower body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket, ankle-length jeans in sturdy, washed denim with an extra-high waist, detachable D-ring belt and zip fly with a button. Loose fit with gently tapered legs. The cotton content of the jeans is partly recycled."
0930058001,0930058,Alabama Backbow Sweater,252,Sweater,Garment Upper body,1010016,Solid,07,Grey,1,Dusty Light,12,Grey,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Shorter jumper in a fine knit containing some wool with a round, ribbed neckline and long, wide sleeves with ribbing at the cuffs. Cut out section at the back with sewn-on ties at the back of the hem."
0930058002,0930058,Alabama Backbow Sweater,252,Sweater,Garment Upper body,1010016,Solid,53,Dark Pink,4,Dark,4,Pink,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Shorter jumper in a fine knit containing some wool with a round, ribbed neckline and long, wide sleeves with ribbing at the cuffs. Cut out section at the back with sewn-on ties at the back of the hem."
0930239001,0930239,PQ REYKJAVIK SILK MIX BLOUSE,258,Blouse,Garment Upper body,1010016,Solid,71,Light Blue,1,Dusty Light,2,Blue,1912,Woven Premium,A,Ladieswear,1,Ladieswear,14,Womens Premium,1001,Unknown,"Long-sleeved, turtle-neck blouse in a softly draping silk and viscose blend with a concealed zip at the back, wide, buttoned cuffs and a rounded hem. Slightly longer at the back."
0930283001,0930283,Chip Hood 19.99:-,308,Hoodie,Garment Upper body,1010014,Placement print,09,Black,4,Dark,5,Black,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Hoodie in soft sweatshirt fabric with a text print. Double-layered drawstring hood, a kangaroo pocket, and ribbing at the cuffs and hem. Soft brushed inside."
0930283002,0930283,Chip Hood 19.99:-,308,Hoodie,Garment Upper body,1010014,Placement print,13,Beige,2,Medium Dusty,11,Beige,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Hoodie in soft sweatshirt fabric with a text print. Double-layered drawstring hood, a kangaroo pocket, and ribbing at the cuffs and hem. Soft brushed inside."
0930283003,0930283,Chip Hood 19.99:-,308,Hoodie,Garment Upper body,1010014,Placement print,21,Light Yellow,3,Light,8,Yellow,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Hoodie in soft sweatshirt fabric with a text print. Double-layered drawstring hood, a kangaroo pocket, and ribbing at the cuffs and hem. Soft brushed inside."
0930284001,0930284,Chip Jogger 19.99:-,272,Trousers,Garment Lower body,1010014,Placement print,09,Black,4,Dark,5,Black,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Joggers in soft sweatshirt fabric made from a cotton blend with a high, elasticated, drawstring waist, side pockets and covered elastication at the hems. Soft brushed inside."
0930284002,0930284,Chip Jogger 19.99:-,272,Trousers,Garment Lower body,1010014,Placement print,07,Grey,2,Medium Dusty,12,Grey,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Joggers in soft sweatshirt fabric made from a cotton blend with a high, elasticated, drawstring waist, side pockets and covered elastication at the hems. Soft brushed inside."
0930285001,0930285,Chip Sweater 14.99:-,252,Sweater,Garment Upper body,1010014,Placement print,07,Grey,2,Medium Dusty,12,Grey,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Long-sleeved top in soft cotton sweatshirt fabric with a text print front and back and ribbing around the neckline, cuffs and hem. Soft brushed inside."
0930350001,0930350,Janelle Waist w Chain,67,Belt,Accessories,1010016,Solid,09,Black,4,Dark,5,Black,3509,Belts,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Narrow waist belt in imitation leather with a metal chain hanging at one side and a metal buckle at the front. Width 1.7 cm.
0930350002,0930350,Janelle Waist w Chain,67,Belt,Accessories,1010016,Solid,10,White,1,Dusty Light,9,White,3509,Belts,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Narrow waist belt in imitation leather with a metal chain hanging at one side and a metal buckle at the front. Width 1.7 cm.
0930380001,0930380,Ruccola,258,Blouse,Garment Upper body,1010001,All over pattern,31,Light Orange,1,Dusty Light,3,Orange,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Slightly longer blouse in an airy weave with a small stand-up collar, buttons down the front, a yoke with a pleat at the back and a rounded hem. Decorative gathers at the shoulders and long sleeves with buttoned cuffs."
0930380002,0930380,Ruccola,258,Blouse,Garment Upper body,1010001,All over pattern,09,Black,4,Dark,5,Black,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Slightly longer blouse in an airy weave with a small stand-up collar, buttons down the front, a yoke with a pleat at the back and a rounded hem. Decorative gathers at the shoulders and long sleeves with buttoned cuffs."
0930380003,0930380,Ruccola,258,Blouse,Garment Upper body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Slightly longer blouse in an airy weave with a small stand-up collar, buttons down the front, a yoke with a pleat at the back and a rounded hem. Decorative gathers at the shoulders and long sleeves with buttoned cuffs."
